,year,school_name,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,max,final
42,2015,Arizona,2,2,3,3,3,3,3,8,7,10,7,6,6,7,7,7,5,5,5,2,5
60,2015,Arkansas,0,0,25,18,0,0,0,0,23,19,0,0,0,24,18,18,18,21,21,18,21
78,2015,Baylor,0,0,0,0,0,0,22,22,21,22,21,20,19,16,20,19,14,16,16,14,16
96,2015,Boise State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0
115,2015,Butler,0,0,0,23,15,23,0,0,0,0,0,25,22,18,19,23,21,22,24,15,24
133,2015,Colorado State,0,0,0,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,24,0
151,2015,Creighton,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
169,2015,Davidson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0
187,2015,Dayton,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,22,0
205,2015,Duke,4,4,4,4,2,2,2,2,2,4,5,4,4,4,4,4,3,2,4,2,4
223,2015,Florida,7,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
242,2015,Georgetown,0,0,0,0,0,0,0,25,0,0,0,21,24,0,0,0,0,23,22,21,22
260,2015,Gonzaga,13,13,10,9,9,8,8,7,6,3,3,3,2,3,3,3,7,7,7,2,7
278,2015,Harvard,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
297,2015,Illinois,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
316,2015,Indiana,0,0,0,0,0,0,0,0,0,0,23,22,0,0,0,0,0,0,0,22,0
334,2015,Iowa,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,0
352,2015,Iowa State,14,14,13,20,14,13,12,9,17,11,9,15,11,14,14,12,17,13,9,9,9
370,2015,Kansas,5,5,11,11,10,10,10,13,12,9,11,9,8,8,8,8,9,9,10,5,10
388,2015,Kentucky,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
407,2015,Louisville,8,7,6,5,4,4,4,5,5,6,10,10,9,9,12,17,16,14,17,4,17
426,2015,Maryland,0,0,0,21,19,17,15,12,11,14,13,16,17,19,16,14,10,8,12,8,12
445,2015,Miami (FL),0,0,17,15,20,18,0,0,0,0,0,23,0,0,0,0,0,0,0,15,0
464,2015,Michigan,24,24,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
482,2015,Michigan State,18,19,20,19,0,25,0,0,0,0,0,0,0,0,0,0,0,0,23,18,23
501,2015,Murray State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0
519,2015,Nebraska,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
537,2015,Northern Iowa,0,0,0,0,23,0,23,23,0,23,20,18,14,13,11,10,11,10,11,10,11
557,2015,Notre Dame,0,0,0,0,25,21,16,14,13,12,8,8,10,10,10,9,12,11,8,8,8
575,2015,Ohio State,20,20,16,14,12,12,21,20,22,0,0,0,20,23,24,0,23,0,0,12,0
595,2015,Oklahoma,19,18,0,22,16,15,19,18,16,18,19,24,21,17,17,16,15,15,13,13,13
613,2015,Oklahoma State,0,0,0,0,0,0,0,0,0,24,0,0,0,22,22,0,0,0,0,22,0
632,2015,Old Dominion,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,25,0
650,2015,Providence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24,0,0,24,0
667,2015,SMU,22,22,0,0,0,0,0,0,0,0,0,0,23,25,21,21,22,20,18,18,18
685,2015,San Diego State,16,16,15,13,18,19,0,0,0,0,0,0,0,0,0,24,0,0,0,13,0
701,2015,Seton Hall,0,0,0,0,0,0,0,0,19,21,24,0,0,0,0,0,0,0,0,19,0
717,2015,St. John's (NY),0,0,0,0,24,20,17,15,24,0,0,0,0,0,0,0,0,0,0,15,0
733,2015,Syracuse,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
748,2015,TCU,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0
761,2015,Texas,10,10,7,6,8,9,9,11,10,20,17,19,25,0,0,0,0,0,0,6,0
774,2015,UCLA,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
785,2015,UConn,17,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
795,2015,UNC,6,6,5,12,21,24,20,19,18,15,15,13,12,12,15,15,19,19,15,5,15
800,2015,Utah,25,25,0,25,13,14,14,10,9,8,12,11,13,11,9,13,13,17,19,8,19
803,2015,VCU,15,15,14,0,0,0,0,0,20,17,16,14,18,20,25,22,0,0,25,14,25
806,2015,Villanova,12,12,12,10,7,7,7,6,8,5,4,7,7,6,6,6,4,4,2,2,2
809,2015,Virginia,9,9,8,7,6,6,5,3,3,2,2,2,3,2,2,2,2,3,6,2,6
812,2015,Washington,0,0,0,0,17,16,13,21,0,0,0,0,0,0,0,0,0,0,0,13,0
814,2015,West Virginia,0,0,21,16,22,22,18,17,14,16,18,17,15,21,23,20,20,18,20,14,20
815,2015,Wichita State,11,11,9,8,11,11,11,16,15,13,14,12,16,15,13,11,8,12,14,8,14
816,2015,Wisconsin,3,3,2,2,5,5,6,4,4,7,6,5,5,5,5,5,6,6,3,2,3
817,2015,Wyoming,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0
